ID,Match Number,Round,Date,Start Time,End Time,Venue,Venue State,Pitch,Home Club,Home Team,Home Score,Away Club,Away Team,Away Score,Status,Age,Gender,Division,Broadcaster,Time Slot ID,Host
8994342,48,1,10/29/2022, 8:00AM, 9:00AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S1-7,Scotts Valley San Lorenzo Valley Youth Soccer Club,Scotts Valley San Lorenzo Valley Youth Soccer Club Valley United 13B Maroon,0,OV Toros FC,OV Toros FC OV Toros FC 2013B Red 2,7,,U10,Male,u10 M Goblins,,,
8994316,22,1,10/29/2022, 8:00AM, 9:00AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S2-7,Almaden FC,Almaden FC Almaden FC Mercury B14 Green,2,San Juan South Soccer Club,San Juan South Soccer Club San Juan South SC 2014 Boys,0,,U09,Male,u9 M Trolls,,,
8994701,227,1,10/29/2022, 8:00AM, 9:15AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,Football Turf,Merced United FC,Merced United FC Merced United FC 10G Barrios,1,San Juan South Soccer Club,San Juan South Soccer Club San Juan South SC 2010 Elite,3,,U13,Female,u13 F Black widows,,,
8994446,140,1,10/29/2022, 8:00AM, 9:15AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,N1-11,Central Valley San Jose SC,Central Valley San Jose SC CVSJ 10B Ducks,1,Almaden FC,Almaden FC Almaden FC Mercury B10 Black,2,,U13,Male,u13 M Nightwalkers,,,
8994447,141,1,10/29/2022, 8:00AM, 9:15AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,Soccer Turf,Santa Cruz City Soccer Club,Santa Cruz City Soccer Club SANTA CRUZ SHARKS 10 BLUE,1,San Juan South Soccer Club,San Juan South Soccer Club San Juan South SC 2010 Boys Elite,5,,U13,Male,u13 M Nightwalkers,,,
8994326,32,1,10/29/2022, 8:00AM, 9:00AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S10-7,OV Toros FC,OV Toros FC OV Toros FC 2014G White,2,OV Toros FC,OV Toros FC OV Toros FC 2014G Gray,2,,U09,Female,u9 F Serpents,,,
8994453,147,1,10/29/2022, 8:00AM, 9:15AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,N2-11,Almaden FC,Almaden FC Almaden FC- Mercury 09B White,2,North Valley Youth Soccer League,North Valley Youth Soccer League NVYSL 09B White,2,,U14,Male,u14 M Warlocks,,,
8994657,183,1,10/29/2022, 8:00AM, 9:05AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S8-9,Almaden FC,Almaden FC Almaden FC Quicksilver 12G Black,6,Los Gatos United Soccer League,Los Gatos United Soccer League Los Gatos United 2012G III,0,,U11,Female,u11F Specters,,,
8994567,176,1,10/29/2022, 8:00AM, 9:05AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S3-9,Infinity Sports Club,Infinity Sports Club 2012G Infinity,0,Hollister Tremors,Hollister Tremors Hollister Tremors 2012G Team B,5,,U11,Female,u11 F Medusas,,,
8994401,107,1,10/29/2022, 8:00AM, 9:05AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S7-9,Central Valley San Jose SC,Central Valley San Jose SC CVSJ 11B Dynamos,2,Sunnyvale Alliance SC,Sunnyvale Alliance SC Sunnyvale Alliance SC 11B White,3,,U12,Male,u12 M Werewolves,,,
8994402,108,1,10/29/2022, 8:00AM, 9:05AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S6-9,Los Gatos United Soccer League,Los Gatos United Soccer League Los Gatos United 2011B V,3,OV Toros FC,OV Toros FC OV Toros FC 2011B Red1,2,,U12,Male,u12 M Werewolves,,,
8994403,109,1,10/29/2022, 8:00AM, 9:05AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S4-9,Hollister Tremors,Hollister Tremors Hollister Tremors 2011B,1,Santa Cruz County Breakers,Santa Cruz County Breakers 2011B Blue,2,,U12,Male,u12 M Werewolves,,,
8994386,92,1,10/29/2022, 8:00AM, 9:05AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S5-9,Almaden FC,Almaden FC Almaden FC Mercury 11B Yellow,0,PAC San Jose,PAC San Jose PAC † SAN JOSE™ 2011 ATLAS,8,,U12,Male,u12 M Corpses,,,
8994724,250,1,10/29/2022, 8:00AM, 9:15AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S9-11,San Juan South Soccer Club,San Juan South Soccer Club San Juan South SC 2009 White,3,OV Toros FC,OV Toros FC OV Toros FC 2008G Black,0,,U15,Female,u15 F Spirits,,,
8994343,49,1,10/29/2022, 9:00AM,10:00AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S2-7,Santa Clara Youth Soccer League,Santa Clara Youth Soccer League SC LIONS 2013B BLACK,4,North Valley Youth Soccer League,North Valley Youth Soccer League NVYSL 13B Ninjas,2,,U10,Male,u10 M Goblins,,,
8994344,50,1,10/29/2022, 9:00AM,10:00AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S12-7,Milpitas Youth Soccer League,Milpitas Youth Soccer League FC Milpitas Thunder 13,0,Hollister Tremors,Hollister Tremors Hollister Tremors 2013B,0,,U10,Male,u10 M Goblins,,,
8994351,57,1,10/29/2022, 9:00AM,10:00AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S10-7,OV Toros FC,OV Toros FC OV Toros FC 2013B Red 1,8,Santa Cruz County Breakers,Santa Cruz County Breakers Santa Cruz Breakers 2013B Gray,0,,U10,Male,u10 M Wraiths,,,
8994298,4,1,10/29/2022, 9:00AM,10:00AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S1-7,OV Toros FC,OV Toros FC OV Toros FC 2014B Navy,2,OV Toros FC,OV Toros FC OV Toros FC 2014B White,1,,U09,Male,u9 M Mutants,,,
8994675,201,1,10/29/2022, 9:05AM,10:10AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S6-9,Infinity Sports Club,Infinity Sports Club 2011G Infinity,1,Central Valley San Jose SC,Central Valley San Jose SC CVSJ 11G Strikers,1,,U12,Female,u12 F Poltergeists,,,
8994666,192,1,10/29/2022, 9:05AM,10:10AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S8-9,Tulare Force,Tulare Force Tulare Force 12 Girls,0,Woodside Soccer Club,Woodside Soccer Club WSC Crush 12 Girls Black,1,,U11,Female,u11 F Ghosts,,,
8994658,184,1,10/29/2022, 9:05AM,10:10AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S4-9,Tulare Force,Tulare Force Tulare Force 12 Girls (2),0,OV Toros FC,OV Toros FC OV Toros FC 2012G Red,0,,U11,Female,u11F Specters,,,
8994684,210,1,10/29/2022, 9:05AM,10:10AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S3-9,UC Premier,UC Premier Union City Premier 11G Red,0,Monterey Surf Soccer Club,Monterey Surf Soccer Club Monterey Surf G11 PDA I,3,,U12,Female,u12 F Phantams,,,
8994415,121,1,10/29/2022, 9:05AM,10:10AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S5-9,,Aguilas,5,Soccer Club of Los Gatos,Soccer Club of Los Gatos 11B Academy White,0,,U12,Male,u12 M Creepers,,,
8994685,211,1,10/29/2022, 9:05AM,10:10AM,Morgan Hill Outdoor Sports Complex (No Dogs),CA,S7-9,OV Toros FC,OV Toros FC OV Toros FC 2011G Black,1,Central Valley Premier FC,Central Valley Premier FC Central Valley Premier FC Elite G11,2,,U12,Female,u12 F Phantams,,,
